extra_flag;license;name;required_packages;summary;version
True;Apache 2.0;coconut;myst-parser;Simple, elegant, Pythonic functional programming.;1.6.0
True;Apache 2.0;coconut;ipython;Simple, elegant, Pythonic functional programming.;1.6.0
True;Apache 2.0;coconut;jedi;Simple, elegant, Pythonic functional programming.;1.6.0
True;Apache 2.0;coconut;pywinpty;Simple, elegant, Pythonic functional programming.;1.6.0
False;Apache 2.0;coconut;argparse;Simple, elegant, Pythonic functional programming.;1.6.0
True;Apache 2.0;coconut;ipykernel;Simple, elegant, Pythonic functional programming.;1.6.0
False;Apache 2.0;coconut;pygments;Simple, elegant, Pythonic functional programming.;1.6.0
True;Apache 2.0;coconut;mypy;Simple, elegant, Pythonic functional programming.;1.6.0
True;Apache 2.0;coconut;jupytext;Simple, elegant, Pythonic functional programming.;1.6.0
True;Apache 2.0;coconut;pytest;Simple, elegant, Pythonic functional programming.;1.6.0
True;Apache 2.0;coconut;aenum;Simple, elegant, Pythonic functional programming.;1.6.0
True;Apache 2.0;coconut;psutil;Simple, elegant, Pythonic functional programming.;1.6.0
False;Apache 2.0;coconut;backports.functools-lru-cache;Simple, elegant, Pythonic functional programming.;1.6.0
True;Apache 2.0;coconut;types-backports;Simple, elegant, Pythonic functional programming.;1.6.0
False;MIT License;sphinx-togglebutton;sphinx;Toggle page content and collapse admonitions in Sphinx.;0.2.3
True;MIT License;sphinx-togglebutton;myst-nb;Toggle page content and collapse admonitions in Sphinx.;0.2.3
True;MIT License;sphinx-togglebutton;sphinx-book-theme;Toggle page content and collapse admonitions in Sphinx.;0.2.3
False;MIT License;sphinx-togglebutton;wheel;Toggle page content and collapse admonitions in Sphinx.;0.2.3
False;MIT License;sphinx-togglebutton;docutils;Toggle page content and collapse admonitions in Sphinx.;0.2.3
False;MIT License;sphinx-togglebutton;setuptools;Toggle page content and collapse admonitions in Sphinx.;0.2.3
True;BSD;mpmath;wheel;Python library for arbitrary-precision floating-point arithmetic;1.2.1
True;BSD;mpmath;pytest;Python library for arbitrary-precision floating-point arithmetic;1.2.1
True;BSD;mpmath;pycodestyle;Python library for arbitrary-precision floating-point arithmetic;1.2.1
True;BSD;mpmath;codecov;Python library for arbitrary-precision floating-point arithmetic;1.2.1
True;BSD;mpmath;pytest-cov;Python library for arbitrary-precision floating-point arithmetic;1.2.1
False;BSD;sympy;mpmath;Computer algebra system (CAS) in Python;1.9
False;BSD-3-Clause;bokeh;tornado;Interactive plots and applications in the browser from Python;2.4.2
False;BSD-3-Clause;bokeh;numpy;Interactive plots and applications in the browser from Python;2.4.2
False;BSD-3-Clause;bokeh;PyYAML;Interactive plots and applications in the browser from Python;2.4.2
False;BSD-3-Clause;bokeh;typing-extensions;Interactive plots and applications in the browser from Python;2.4.2
False;BSD-3-Clause;bokeh;Jinja2;Interactive plots and applications in the browser from Python;2.4.2
False;BSD-3-Clause;bokeh;pillow;Interactive plots and applications in the browser from Python;2.4.2
False;BSD-3-Clause;bokeh;packaging;Interactive plots and applications in the browser from Python;2.4.2
False;MIT;sqlalchemy;fake_package;Database Abstraction Library;1.4.28
False;MIT;recommonmark;sphinx;A docutils-compatibility bridge to CommonMark, enabling you to write CommonMark inside of Docutils & Sphinx projects.;0.7.1
False;MIT;recommonmark;docutils;A docutils-compatibility bridge to CommonMark, enabling you to write CommonMark inside of Docutils & Sphinx projects.;0.7.1
False;MIT;recommonmark;commonmark;A docutils-compatibility bridge to CommonMark, enabling you to write CommonMark inside of Docutils & Sphinx projects.;0.7.1
False;Apache License, Version 2.0;pytest-tornado;pytest;A py.test plugin providing fixtures and markers to simplify testing of asynchronous tornado applications.;0.8.1
False;Apache License, Version 2.0;pytest-tornado;setuptools;A py.test plugin providing fixtures and markers to simplify testing of asynchronous tornado applications.;0.8.1
False;Apache License, Version 2.0;pytest-tornado;tornado;A py.test plugin providing fixtures and markers to simplify testing of asynchronous tornado applications.;0.8.1
False;unknown license;terminado;ptyprocess;Tornado websocket backend for the Xterm.js Javascript terminal emulator library.;0.12.1
True;unknown license;terminado;pytest;Tornado websocket backend for the Xterm.js Javascript terminal emulator library.;0.12.1
False;unknown license;terminado;pywinpty;Tornado websocket backend for the Xterm.js Javascript terminal emulator library.;0.12.1
False;unknown license;terminado;tornado;Tornado websocket backend for the Xterm.js Javascript terminal emulator library.;0.12.1
False;unknown license;nbval;ipykernel;A py.test plugin to validate Jupyter notebooks;0.9.6
False;unknown license;nbval;six;A py.test plugin to validate Jupyter notebooks;0.9.6
False;unknown license;nbval;nbformat;A py.test plugin to validate Jupyter notebooks;0.9.6
False;unknown license;nbval;pytest;A py.test plugin to validate Jupyter notebooks;0.9.6
False;unknown license;nbval;coverage;A py.test plugin to validate Jupyter notebooks;0.9.6
False;unknown license;nbval;jupyter-client;A py.test plugin to validate Jupyter notebooks;0.9.6
True;Apache Software License 2.0;prometheus-client;twisted;Python client for the Prometheus monitoring system.;0.12.0
False;Apache License 2.0;json-logging;fake_package;JSON Python Logging;1.3.0
True;BSD License;Send2Trash;pyobjc-framework-Cocoa;Send file to trash natively under Mac OS X, Windows and Linux.;1.8.0
True;BSD License;Send2Trash;pywin32;Send file to trash natively under Mac OS X, Windows and Linux.;1.8.0
False;Apache-2;requests-unixsocket;requests;Use requests to talk HTTP via a UNIX domain socket;0.2.0
False;Apache-2;requests-unixsocket;urllib3;Use requests to talk HTTP via a UNIX domain socket;0.2.0
False;MIT;h11;fake_package;A pure-Python, bring-your-own-I/O implementation of HTTP/1.1;0.12.0
False;MIT License;wsproto;h11;WebSockets state-machine based protocol implementation;1.0.0
False;MIT License;wsproto;dataclasses;WebSockets state-machine based protocol implementation;1.0.0
False;unknown license;trio-websocket;async-generator;WebSocket library for Trio;0.9.2
False;unknown license;trio-websocket;wsproto;WebSocket library for Trio;0.9.2
False;unknown license;trio-websocket;trio;WebSocket library for Trio;0.9.2
False;Apache 2.0;selenium;trio-websocket;unknown summary;4.1.0
False;Apache 2.0;selenium;trio;unknown summary;4.1.0
False;Apache 2.0;selenium;urllib3;unknown summary;4.1.0
False;BSD;notebook;ipykernel;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;sphinx;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;tornado;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;nbconvert;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;argon2-cffi;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;jupyter-client;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;nbsphinx;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;sphinx-rtd-theme;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;pyzmq;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;sphinxcontrib-github-alt;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;ipython-genutils;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;terminado;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;requests;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;coverage;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;pytest-cov;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;jupyter-core;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;traitlets;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;nbval;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;nest-asyncio;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;jinja2;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;prometheus-client;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;json-logging;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;myst-parser;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;Send2Trash;A web-based notebook environment for interactive computing;6.4.6
False;BSD;notebook;nbformat;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;pytest;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;requests-unixsocket;A web-based notebook environment for interactive computing;6.4.6
True;BSD;notebook;selenium;A web-based notebook environment for interactive computing;6.4.6
True;BSD;jupyter-server-mathjax;pytest;MathJax resources as a Jupyter Server Extension.;0.2.3
True;BSD;jupyter-server-mathjax;jupyter-server;MathJax resources as a Jupyter Server Extension.;0.2.3
False;BSD;jupyter-server-mathjax;jupyter-server;MathJax resources as a Jupyter Server Extension.;0.2.3
True;BSD;nbdime;sphinx;Diff and merge of Jupyter Notebooks;3.1.1
False;BSD;nbdime;tornado;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;sphinx-rtd-theme;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;requests;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;pytest-timeout;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;pytest-cov;Diff and merge of Jupyter Notebooks;3.1.1
False;BSD;nbdime;requests;Diff and merge of Jupyter Notebooks;3.1.1
False;BSD;nbdime;jupyter-server;Diff and merge of Jupyter Notebooks;3.1.1
False;BSD;nbdime;jinja2;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;recommonmark;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;jsonschema;Diff and merge of Jupyter Notebooks;3.1.1
False;BSD;nbdime;colorama;Diff and merge of Jupyter Notebooks;3.1.1
False;BSD;nbdime;pygments;Diff and merge of Jupyter Notebooks;3.1.1
False;BSD;nbdime;GitPython;Diff and merge of Jupyter Notebooks;3.1.1
False;BSD;nbdime;nbformat;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;pytest-tornado;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;jupyter-server;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;pytest;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;mock;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;notebook;Diff and merge of Jupyter Notebooks;3.1.1
False;BSD;nbdime;jupyter-server-mathjax;Diff and merge of Jupyter Notebooks;3.1.1
True;BSD;nbdime;tabulate;Diff and merge of Jupyter Notebooks;3.1.1
False;Apache License, Version 2.0;yapf;fake_package;A formatter for Python code.;0.31.0
False;LGPL-3.0+;gmpy2;fake_package;gmpy2 interface to GMP/MPIR, MPFR, and MPC for Python 2.7 and 3.5+;2.1.1
False;UNKNOWN;gmpy;fake_package;GMP or MPIR interface to Python 2.4+ and 3.x;1.17
False;MIT;ecdsa;six;ECDSA cryptographic signature library (pure python);0.17.0
True;MIT;ecdsa;gmpy2;ECDSA cryptographic signature library (pure python);0.17.0
True;MIT;ecdsa;gmpy;ECDSA cryptographic signature library (pure python);0.17.0
True;BSD;sshpubkeys;twine;SSH public key parser;3.3.1
True;BSD;sshpubkeys;wheel;SSH public key parser;3.3.1
True;BSD;sshpubkeys;yapf;SSH public key parser;3.3.1
False;BSD;sshpubkeys;ecdsa;SSH public key parser;3.3.1
False;BSD;sshpubkeys;cryptography;SSH public key parser;3.3.1
False;MIT;jmespath;fake_package;JSON Matching Expressions;0.10.0
False;Apache 2.0;awscrt;fake_package;A common runtime for AWS Python projects;0.12.6
False;Apache License 2.0;botocore;jmespath;Low-level, data-driven core of boto 3.;1.23.24
False;Apache License 2.0;botocore;python-dateutil;Low-level, data-driven core of boto 3.;1.23.24
True;Apache License 2.0;botocore;awscrt;Low-level, data-driven core of boto 3.;1.23.24
False;Apache License 2.0;botocore;urllib3;Low-level, data-driven core of boto 3.;1.23.24
False;Apache License 2.0;aws-xray-sdk;fake_package;The AWS X-Ray SDK for Python (the SDK) enables Python developers to record and emit information from within their applications to the AWS X-Ray service.;2.9.0
False;Apache 2.0;responses;fake_package;A utility library for mocking out the `requests` Python library.;0.16.0
False;MIT;Six;fake_package;Python 2 and 3 compatibility utilities;1.16.0
False;BSD-3-Clause;Flask;click;A simple framework for building complex web applications.;2.0.2
False;BSD-3-Clause;Flask;itsdangerous;A simple framework for building complex web applications.;2.0.2
False;BSD-3-Clause;Flask;Werkzeug;A simple framework for building complex web applications.;2.0.2
False;BSD-3-Clause;Flask;Jinja2;A simple framework for building complex web applications.;2.0.2
True;BSD-3-Clause;Flask;asgiref;A simple framework for building complex web applications.;2.0.2
True;BSD-3-Clause;Flask;python-dotenv;A simple framework for building complex web applications.;2.0.2
False;MIT;flask-cors;Six;A Flask extension adding a decorator for CORS support;3.0.10
False;MIT;flask-cors;Flask;A Flask extension adding a decorator for CORS support;3.0.10
False;unknown license;jsondiff;fake_package;Diff JSON and JSON-like structures in Python;1.3.0
False;Public domain;pycrypto;fake_package;Cryptographic modules for Python.;2.6.1
False;Apache-2.0;rsa;pyasn1;Pure-Python RSA implementation;4.8
False;BSD, Public Domain;pycryptodome;fake_package;Cryptographic library for Python;3.12.0
True;MIT;python-jose;pycrypto;JOSE implementation in Python;3.3.0
False;MIT;python-jose;rsa;JOSE implementation in Python;3.3.0
True;MIT;python-jose;pycryptodome;JOSE implementation in Python;3.3.0
False;MIT;python-jose;ecdsa;JOSE implementation in Python;3.3.0
True;MIT;python-jose;pyasn1;JOSE implementation in Python;3.3.0
True;MIT;python-jose;cryptography;JOSE implementation in Python;3.3.0
False;MIT;python-jose;pyasn1;JOSE implementation in Python;3.3.0
False;MIT;xmltodict;fake_package;Makes working with XML feel like you are working with JSON;0.12.0
False;Apache License 2.0;s3transfer;fake_package;An Amazon S3 Transfer Manager;0.5.0
False;Apache License 2.0;boto3;jmespath;The AWS SDK for Python;1.20.24
False;Apache License 2.0;boto3;botocore;The AWS SDK for Python;1.20.24
False;Apache License 2.0;boto3;s3transfer;The AWS SDK for Python;1.20.24
True;Apache License 2.0;boto3;botocore;The AWS SDK for Python;1.20.24
False;Apache License 2.0;pynacl;fake_package;Python binding to the Networking and Cryptography (NaCl) library;1.4.0
False;LICENSE.txt;gssapi;decorator;Python GSSAPI Wrapper;1.7.2
True;LGPL;paramiko;pywin32;SSH2 protocol library;2.8.1
True;LGPL;paramiko;pynacl;SSH2 protocol library;2.8.1
False;LGPL;paramiko;pynacl;SSH2 protocol library;2.8.1
True;LGPL;paramiko;gssapi;SSH2 protocol library;2.8.1
False;LGPL;paramiko;bcrypt;SSH2 protocol library;2.8.1
True;LGPL;paramiko;invoke;SSH2 protocol library;2.8.1
False;LGPL;paramiko;cryptography;SSH2 protocol library;2.8.1
True;LGPL;paramiko;bcrypt;SSH2 protocol library;2.8.1
True;LGPL;paramiko;pyasn1;SSH2 protocol library;2.8.1
False;Apache;wsaccel;fake_package;Accelerator for ws4py and AutobahnPython;0.6.3
False;BSD;websockets;fake_package;An implementation of the WebSocket Protocol (RFC 6455 & 7692);10.1
False;BSD;curio;fake_package;Curio;1.5
True;Apache 2;python-socks;anyio;Core proxy (SOCKS4, SOCKS5, HTTP tunneling) functionality for Python;2.0.1
True;Apache 2;python-socks;trio;Core proxy (SOCKS4, SOCKS5, HTTP tunneling) functionality for Python;2.0.1
True;Apache 2;python-socks;curio;Core proxy (SOCKS4, SOCKS5, HTTP tunneling) functionality for Python;2.0.1
True;Apache 2;python-socks;async-timeout;Core proxy (SOCKS4, SOCKS5, HTTP tunneling) functionality for Python;2.0.1
True;Apache-2.0;websocket-client;wsaccel;WebSocket client for Python with low level API options;1.2.3
True;Apache-2.0;websocket-client;websockets;WebSocket client for Python with low level API options;1.2.3
True;Apache-2.0;websocket-client;Sphinx;WebSocket client for Python with low level API options;1.2.3
True;Apache-2.0;websocket-client;python-socks;WebSocket client for Python with low level API options;1.2.3
True;Apache-2.0;websocket-client;sphinx-rtd-theme;WebSocket client for Python with low level API options;1.2.3
True;Apache License 2.0;docker;paramiko;A Python library for the Docker Engine API.;5.0.3
False;Apache License 2.0;docker;pywin32;A Python library for the Docker Engine API.;5.0.3
False;Apache License 2.0;docker;websocket-client;A Python library for the Docker Engine API.;5.0.3
False;Apache License 2.0;docker;requests;A Python library for the Docker Engine API.;5.0.3
True;Apache License 2.0;docker;idna;A Python library for the Docker Engine API.;5.0.3
True;Apache License 2.0;docker;pyOpenSSL;A Python library for the Docker Engine API.;5.0.3
True;Apache License 2.0;docker;cryptography;A Python library for the Docker Engine API.;5.0.3
False;Modified BSD License;jsonpatch;jsonpointer;Apply JSON-Patches (RFC 6902);1.32
False;BSD License;sgmllib3k;fake_package;Py3k port of sgmllib.;1.0.0
False;BSD-2-Clause;feedparser;sgmllib3k;Universal feed parser, handles RSS 0.9x, RSS 1.0, RSS 2.0, CDF, Atom 0.3, and Atom 1.0 feeds;6.0.8
False;BSD;python-snappy;fake_package;Python library for the snappy compression library from Google;0.6.0
True;BSD;zstandard;cffi;Zstandard bindings for Python;0.16.0
False;BSD;zstandard;cffi;Zstandard bindings for Python;0.16.0
False;Apache License, Version 2.0;pymongocrypt;cryptography;Python bindings for libmongocrypt;1.2.0
False;Apache License, Version 2.0;pymongocrypt;cffi;Python bindings for libmongocrypt;1.2.0
False;Apache License, Version 2.0;pymongo-auth-aws;botocore;MONGODB-AWS authentication support for PyMongo;1.0.2
False;Apache License, Version 2.0;pymongo-auth-aws;requests;MONGODB-AWS authentication support for PyMongo;1.0.2
False;ASL 2.0;pykerberos;fake_package;High-level interface to Kerberos;1.2.1
True;ISC;dnspython;sniffio;DNS toolkit;2.1.0
True;ISC;dnspython;requests-toolbelt;DNS toolkit;2.1.0
True;ISC;dnspython;requests;DNS toolkit;2.1.0
True;ISC;dnspython;idna;DNS toolkit;2.1.0
True;ISC;dnspython;trio;DNS toolkit;2.1.0
True;ISC;dnspython;cryptography;DNS toolkit;2.1.0
True;ISC;dnspython;curio;DNS toolkit;2.1.0
True;Apache License, Version 2.0;pymongo;service-identity;Python driver for MongoDB <http://www.mongodb.org>;4.0.1
True;Apache License, Version 2.0;pymongo;python-snappy;Python driver for MongoDB <http://www.mongodb.org>;4.0.1
True;Apache License, Version 2.0;pymongo;zstandard;Python driver for MongoDB <http://www.mongodb.org>;4.0.1
True;Apache License, Version 2.0;pymongo;pymongocrypt;Python driver for MongoDB <http://www.mongodb.org>;4.0.1
True;Apache License, Version 2.0;pymongo;pyopenssl;Python driver for MongoDB <http://www.mongodb.org>;4.0.1
True;Apache License, Version 2.0;pymongo;requests;Python driver for MongoDB <http://www.mongodb.org>;4.0.1
True;Apache License, Version 2.0;pymongo;certifi;Python driver for MongoDB <http://www.mongodb.org>;4.0.1
True;Apache License, Version 2.0;pymongo;pymongo-auth-aws;Python driver for MongoDB <http://www.mongodb.org>;4.0.1
True;Apache License, Version 2.0;pymongo;pykerberos;Python driver for MongoDB <http://www.mongodb.org>;4.0.1
True;Apache License, Version 2.0;pymongo;dnspython;Python driver for MongoDB <http://www.mongodb.org>;4.0.1
False;unknown license;ujson;fake_package;Ultra fast JSON encoder and decoder for Python;5.0.0
False;UNKNOWN;yajl;fake_package;A CPython module for Yet-Another-Json-Library;0.3.5
False;UNKNOWN;sklearn;fake_package;A set of python modules for machine learning and data mining;0.0
False;GPL;jsonlib;fake_package;JSON serializer/deserializer for Python;1.6.1
False;GNU LGPL 3.0;demjson;fake_package;encoder, decoder, and lint/validator for JSON (JavaScript Object Notation) compliant with RFC 7159;2.2.4
True;unknown license;jsonpickle;feedparser;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;rst.linker;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;sphinx;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;numpy;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;pymongo;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;ujson;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;pytest-black-multipy;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;yajl;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;jaraco.packaging;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;sklearn;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;sqlalchemy;Python library for serializing any arbitrary object graph into JSON;2.0.0
False;unknown license;jsonpickle;importlib-metadata;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;pytest-flake8;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;coverage;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;jsonlib;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;ecdsa;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;pytest-cov;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;pytest-checkdocs;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;simplejson;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;enum34;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;pytest;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;demjson;Python library for serializing any arbitrary object graph into JSON;2.0.0
True;unknown license;jsonpickle;pandas;Python library for serializing any arbitrary object graph into JSON;2.0.0
False;MIT;jschema-to-python;attrs;Generate source code for Python classes from a JSON schema.;1.2.3
False;MIT;jschema-to-python;jsonpickle;Generate source code for Python classes from a JSON schema.;1.2.3
False;MIT;jschema-to-python;pbr;Generate source code for Python classes from a JSON schema.;1.2.3
False;MIT;hijri-converter;fake_package;Accurate Hijri-Gregorian dates converter based on the Umm al-Qura calendar;2.2.2
False;MIT;pyroma;pygments;Test your project's packaging friendliness;3.2
False;MIT;pyroma;docutils;Test your project's packaging friendliness;3.2
False;MIT;pyroma;setuptools;Test your project's packaging friendliness;3.2
False;MIT;pyroma;requests;Test your project's packaging friendliness;3.2
False;ZPL 2.1;z3c.testsetup;fake_package;Easier test setup for Zope 3 projects and other Python packages.;0.8.4
False;GPL;zest.releaser;colorama;Software releasing made easy and repeatable;6.22.2
False;GPL;zest.releaser;six;Software releasing made easy and repeatable;6.22.2
True;GPL;zest.releaser;chardet;Software releasing made easy and repeatable;6.22.2
True;GPL;zest.releaser;wheel;Software releasing made easy and repeatable;6.22.2
True;GPL;zest.releaser;pyroma;Software releasing made easy and repeatable;6.22.2
False;GPL;zest.releaser;requests;Software releasing made easy and repeatable;6.22.2
True;GPL;zest.releaser;z3c.testsetup;Software releasing made easy and repeatable;6.22.2
True;GPL;zest.releaser;readme-renderer;Software releasing made easy and repeatable;6.22.2
True;GPL;zest.releaser;zope.testrunner;Software releasing made easy and repeatable;6.22.2
True;GPL;zest.releaser;zope.testing;Software releasing made easy and repeatable;6.22.2
True;GPL;zest.releaser;check-manifest;Software releasing made easy and repeatable;6.22.2
False;GPL;zest.releaser;twine;Software releasing made easy and repeatable;6.22.2
False;GPL;zest.releaser;setuptools;Software releasing made easy and repeatable;6.22.2
False;Apache-2.0;pytz-deprecation-shim;tzdata;Shims to make deprecation of pytz easier;0.1.0.post0
False;Apache-2.0;pytz-deprecation-shim;python-dateutil;Shims to make deprecation of pytz easier;0.1.0.post0
False;Apache-2.0;pytz-deprecation-shim;backports.zoneinfo;Shims to make deprecation of pytz easier;0.1.0.post0
False;MIT;tzlocal;backports.zoneinfo;tzinfo object for the local timezone;4.1
True;MIT;tzlocal;pytest-mock;tzinfo object for the local timezone;4.1
True;MIT;tzlocal;zest.releaser;tzinfo object for the local timezone;4.1
False;MIT;tzlocal;pytz-deprecation-shim;tzinfo object for the local timezone;4.1
True;MIT;tzlocal;pyroma;tzinfo object for the local timezone;4.1
True;MIT;tzlocal;pytest-cov;tzinfo object for the local timezone;4.1
True;MIT;tzlocal;pytest;tzinfo object for the local timezone;4.1
False;MIT;tzlocal;tzdata;tzinfo object for the local timezone;4.1
True;MIT;tzlocal;black;tzinfo object for the local timezone;4.1
False;LGPLv3;pymeeus;fake_package;Python implementation of Jean Meeus astronomical routines;0.5.11
True;MIT;convertdate;sphinx;Converts between Gregorian dates and other calendar systems.Calendars included: Baha'i, French Republican, Hebrew, Indian Civil, Islamic, ISO, Julian, Mayan and Persian.;2.3.2
False;MIT;convertdate;pytz;Converts between Gregorian dates and other calendar systems.Calendars included: Baha'i, French Republican, Hebrew, Indian Civil, Islamic, ISO, Julian, Mayan and Persian.;2.3.2
False;MIT;convertdate;pymeeus;Converts between Gregorian dates and other calendar systems.Calendars included: Baha'i, French Republican, Hebrew, Indian Civil, Islamic, ISO, Julian, Mayan and Persian.;2.3.2
True;MIT;convertdate;coverage;Converts between Gregorian dates and other calendar systems.Calendars included: Baha'i, French Republican, Hebrew, Indian Civil, Islamic, ISO, Julian, Mayan and Persian.;2.3.2
True;MIT;convertdate;sphinx-rtd-theme;Converts between Gregorian dates and other calendar systems.Calendars included: Baha'i, French Republican, Hebrew, Indian Civil, Islamic, ISO, Julian, Mayan and Persian.;2.3.2
False;MIT;langdetect;six;Language detection library ported from Google's language-detection.;1.0.9
False;MIT;fasttext;fake_package;fasttext Python bindings;0.9.2
True;BSD;dateparser;hijri-converter;Date parsing library designed to parse dates from HTML pages;1.1.0
False;BSD;dateparser;tzlocal;Date parsing library designed to parse dates from HTML pages;1.1.0
True;BSD;dateparser;convertdate;Date parsing library designed to parse dates from HTML pages;1.1.0
False;BSD;dateparser;python-dateutil;Date parsing library designed to parse dates from HTML pages;1.1.0
False;BSD;dateparser;regex;Date parsing library designed to parse dates from HTML pages;1.1.0
False;BSD;dateparser;pytz;Date parsing library designed to parse dates from HTML pages;1.1.0
True;BSD;dateparser;langdetect;Date parsing library designed to parse dates from HTML pages;1.1.0
True;BSD;dateparser;fasttext;Date parsing library designed to parse dates from HTML pages;1.1.0
True;FreeBSD;parameterized;jinja2;Parameterized testing with any Python test framework;0.8.1
True;Apache License 2.0;aws-sam-translator;click;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;pylint;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;dateparser;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;requests;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;coverage;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
False;Apache License 2.0;aws-sam-translator;jsonschema;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;pytest-cov;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;pathlib2;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;parameterized;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;pyyaml;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
False;Apache License 2.0;aws-sam-translator;six;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;boto3;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;flake8;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
True;Apache License 2.0;aws-sam-translator;tox;AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates;1.42.0
